"Менеджер","Контрагент","Итого","cnt_first","cnt_second"
Рудова Евгения Константиновна,УранИндустрия ООО (АЗЕРБАЙДЖАН),515385.12,3,3
Мусина Елена Константиновна,ЖодиноЛогистика АО (БЕЛАРУСЬ),19784.25,3,0
Лавар Владимир Игоревич,ИПСИЛОН-ПЛЮС ООО,124202.41,3,2
Лавар Владимир Игоревич,ХИ-ТОРГ ООО,224616.75,4,4
Рудова Евгения Константиновна,ЛюбаньПроект АО (БЕЛАРУСЬ),121344.84,2,4
Рудова Евгения Константиновна,ОршаСервис ООО (БЕЛАРУСЬ),18965.56,0,2
Мусина Елена Константиновна,СлавгородФарма ООО (БЕЛАРУСЬ),54691.44,1,0
Белозерский Денис Александрович,ВитебскСервис ТОО (АРМЕНИЯ),14553.60,1,0
Кузьмин Игорь Дмитриевич,ЧериковМед ТОО (БЕЛАРУСЬ),6799.82,1,0
Белозерский Денис Александрович,МикашевичиИнвест АО (БЕЛАРУСЬ),42426.17,2,0
Лавар Владимир Игоревич,ЭПСИЛОН-КОМ ООО,13995.89,2,0
Белозерский Денис Александрович,ХиХимия ООО,376901.39,2,3
Антоненко Ольга Александровна,МстиславльЭкспорт ООО (УЗБЕКИСТАН),3645.00,2,0
Антоненко Ольга Александровна,ПружаныТрейд ТОО (КАЗАХСТАН),4600.00,2,0
Катынкина Елена Александровна,БрестЭнерго АО (БЕЛАРУСЬ),10513.80,1,0
Грозова Лариса Николаевна,КамаИнновации ТОО,696.77,0,1
Любецкая Юлия Михайловна,ШкловЭкспорт ТОО (КИРГИЗИЯ),3467.89,0,1
Антоненко Ольга Александровна,РоссоныЭнерго ООО (БЕЛАРУСЬ),18900.00,0,1
Кузьмин Игорь Дмитриевич,МстиславльТрейд ООО (БЕЛАРУСЬ),56654.97,2,1
Антоненко Ольга Александровна,ПолоцкСервис ООО (БЕЛОРУСЬ),2220.00,0,1
Кузнецов Евгений Васильевич,ВоложинТрейд ООО (БЕЛАРУСЬ),1641.60,0,1
Белозерский Денис Александрович,СлуцкФарма АО (БЕЛАРУСЬ),48999.30,1,0
Антоненко Ольга Александровна,СтолинКонсалт ООО (АЗЕРБАЙДЖАН),6500.00,1,0
Грозова Лариса Николаевна,"ООО ""предприятие Гиацинт"" 

",54941.64,2,1
Антоненко Ольга Александровна,ЖодиноТех ТОО (ТУРКМЕНИСТАН),276764.59,5,4
Грозова Лариса Николаевна,"ООО ""ПЕСТ""",104089.52,2,1
Кузьмин Игорь Дмитриевич,КостюковичиИнвест ООО (БЕЛАРУСЬ),82653.26,1,1
Грозова Лариса Николаевна,"ЗАО КБ ""ЛАДА-КРЕДИТ""",122490.86,1,2
Лавар Владимир Игоревич,АЛЬФА-15 ООО,26227.90,2,1
Кузьмин Игорь Дмитриевич,КлимовичиМед ТОО (БЕЛАРУСЬ),2111.76,1,0
Грозова Лариса Николаевна,ЖемчугКом ОАО,84181.68,2,2
Антоненко Ольга Александровна,ГлубокоеИнновации ТОО (КАЗАХСТАН),63699.38,1,0
Самбурова Ольга Владиславовна,КопыльСервис ООО (БЕЛОРУСЬ),1109922.30,6,4
Грозова Лариса Николаевна,ЛямбдаФинанс ОАО,994.32,0,1
Самбурова Ольга Владиславовна,ЕльскЭкспорт АО (УКРАИНА),4330.37,1,0
Махоткина Ирина Юрьевна,СлавгородЭнерго ТОО (БЕЛАРУСЬ),4089.63,1,0
Кузьмин Игорь Дмитриевич,РоссоныЛогистика АО (БЕЛАРУСЬ),4038.48,1,0
Рудова Евгения Константиновна,ГлускМед ТОО (БЕЛАРУСЬ),252861.54,4,1
Белозерский Денис Александрович,БобруйскФарма ТОО (КИРГИЗИЯ),597528.73,5,5
Самбурова Ольга Владиславовна,ОршаИнновации ООО (АЗЕРБАЙДЖАН),5372.70,0,1
Белозерский Денис Александрович,КАППА-МАШ ООО,6936.00,1,0
Рудова Евгения Константиновна,БелгородТранс ТОО (КАЗАХСТАН),2266711.03,4,2
Антоненко Ольга Александровна,БыховМед ТОО (КИРГИЗИЯ),125076.74,2,1
Самбурова Ольга Владиславовна,КричевЭнерго ТОО (ТУРКМЕНИСТАН),8714.88,1,0
Самбурова Ольга Владиславовна,НаровляФинанс АО (МОЛДОВА),131447.76,1,0
Грозова Лариса Николаевна,"АО ""Михайловский ГОК им. А.В. Варичева""",452622.62,5,3
Антоненко Ольга Александровна,КалинковичиСервис АО (МОЛДОВА),81937.64,1,0
Рудова Евгения Константиновна,ХабаровскФарма ООО (АЗЕРБАЙДЖАН),54311.04,1,0
Лавар Владимир Игоревич,ЭПСИЛОН-СТРОЙ ООО,41284.32,1,1
Белозерский Денис Александрович,ДОН-МАШ ООО,180534.96,0,1
Кузьмин Игорь Дмитриевич,ЧечерскЛогистика АО (БЕЛАРУСЬ),1196.28,1,0
Белозерский Денис Александрович,МЮ-ПРОД ООО,309849.45,3,1
Антоненко Ольга Александровна,ЛяховичиФинанс АО (МОЛДОВА),2982660.28,4,3
Белозерский Денис Александрович,ЕльскКом АО (БЕЛАРУСЬ),141014.56,2,1
Белозерский Денис Александрович,БорисовЛогистика АО (БЕЛАРУСЬ),2518979.38,6,5
Белозерский Денис Александрович,ЖЕЛЕЗНОДОРОЖНЫЙ ООО,3917.84,0,1
Грозова Лариса Николаевна,ПсковЛогистика ООО,36247.51,1,0
Антоненко Ольга Александровна,КировскИндустрия ТОО (АРМЕНИЯ),9999.04,1,1
Белозерский Денис Александрович,ЛИНИЯ-СЕРВИС ООО,58354.18,2,0
Грозова Лариса Николаевна,"ОАО ""АЛНАС""",472731.56,0,4
Антоненко Ольга Александровна,БобруйскСервис АО (БЕЛАРУСЬ),31404066.01,6,5
Лавар Владимир Игоревич,ПИ-МАШ ООО,47096.55,1,1
Белозерский Денис Александрович,ПИ-ПЛЮС ООО,643299.02,0,3
Рудова Евгения Константиновна,ШтормФарма АО (РОССИЯ),1345543.64,0,3
Нечесова Наталья Валерьевна,АЛЬФА-23 ООО,442602.23,3,1
Лавар Владимир Игоревич,ГАММА-ЭНЕРГО ООО,45184.59,1,2
Рудова Евгения Константиновна,УфаЛогистика АО (МОЛДОВА),56849.76,1,0
Махоткина Ирина Юрьевна,БрагинТрейд АО (БЕЛАРУСЬ),783317.56,3,1
Лавар Владимир Игоревич,СлуцкИнвест АО (БЕЛАРУСЬ),1010.14,1,0
Кузьмин Игорь Дмитриевич,ЖитковичиЭкспорт ТОО (БЕЛАРУСЬ),4416.00,0,1
Грозова Лариса Николаевна,ООО «ВЭЛДЭС»,22788.00,1,0
Белозерский Денис Александрович,ТАУ-КОМ ООО,27115.78,3,0
Белозерский Денис Александрович,КостанайЛогистика ООО (БЕЛОРУСЬ),32791.87,1,0
Грозова Лариса Николаевна,МюИндустрия ООО,462037.20,1,0
Лавар Владимир Игоревич,КлимовичиМед ТОО (БЕЛАРУСЬ),26218.86,0,1
Смирнова Наталья Петровна,КурскФинанс ООО,1620.00,0,1
Белозерский Денис Александрович,ХИ-КОМ ООО,561784.96,1,2
Антоненко Ольга Александровна,БорисовПроект АО (УКРАИНА),3325.00,1,0
Белозерский Денис Александрович,ИМПУЛЬС-ЭНЕРГО ООО,771258.31,3,1
Самбурова Ольга Владиславовна,ДубровноТранс ООО (АЗЕРБАЙДЖАН),27926.40,0,1
Нечесова Наталья Валерьевна,ЙОТА-СТРОЙ ООО,143323.71,4,3
Белозерский Денис Александрович,ВЕТЕР-ЭЛЕКТРО ООО,109682.08,1,2
Антоненко Ольга Александровна,НовосибирскФарма АО (РОССИЯ),133400.01,1,1
Антоненко Ольга Александровна,УралЭкспорт ООО,13389106.17,6,5
Белозерский Денис Александрович,КричевИндустрия АО (БЕЛАРУСЬ),3727079.83,6,5
Леонов Евгений Николаевич,КопыльСтрой ТОО (БЕЛАРУСЬ),207446.40,1,2
Белозерский Денис Александрович,ЙОТА-ПРОД ООО,20863.20,1,0
Махоткина Ирина Юрьевна,РоссоныИндустрия ООО (БЕЛАРУСЬ),87880.48,2,0
Грозова Лариса Николаевна,ОмскКонсалт АО,26509.21,0,1
Махоткина Ирина Юрьевна,ТуровКом АО (БЕЛАРУСЬ),36329.76,1,0
Антоненко Ольга Александровна,КраснопольеМед АО (УКРАИНА),259246.22,0,1
Нечесова Наталья Валерьевна,БЕТА-КОМ ООО,179960.48,4,2
Грозова Лариса Николаевна,"ЗАО ""ПЕРВЫЙ КОНДИТЕРСКИЙ КОМБИНАТ - АЗАРТ""",12144.46,1,0
Лавар Владимир Игоревич,ЙОТА-КОМ ООО,13863.95,1,1
Махоткина Ирина Юрьевна,ЕльскПроект АО (БЕЛАРУСЬ),129148.80,1,0
Самбурова Ольга Владиславовна,ЕврейскаяАОИндустрия ООО (БЕЛОРУСЬ),1594074.54,2,4
Грозова Лариса Николаевна,HIDE CAP,2230.75,1,0
Белозерский Денис Александрович,АЛЬФА-4 ООО,2310.30,1,0
Кузьмин Игорь Дмитриевич,ХотимскСервис АО (БЕЛАРУСЬ),46181.95,0,2
Самбурова Ольга Владиславовна,ЧериковЛогистика ООО (БЕЛОРУСЬ),2018.02,1,0
Антоненко Ольга Александровна,КопыльИндустрия АО (МОЛДОВА),13663.23,4,1
Лавар Владимир Игоревич,ОМЕГА-СТРОЙ ООО,1372339.05,4,3
Антоненко Ольга Александровна,ТПАС-Петрозаводск ООО,6650.00,1,0
Мусина Елена Константиновна,ПинскСервис АО (БЕЛАРУСЬ),397488.60,3,0
Белозерский Денис Александрович,ЗЕТА-ПЛЮС ООО,137596.57,2,3
Грозова Лариса Николаевна,"КБ ""ИНТЕРКОММЕРЦ"" (ООО)",6183.00,1,0
Махоткина Ирина Юрьевна,СенненскийСервис ООО (БЕЛАРУСЬ),13142.64,0,1
Грозова Лариса Николаевна,"ПАО ""АСЗ""",127202.40,1,0
Мусина Елена Константиновна,"АО ""НАК ""АЗОТ""",18814.02,1,0
Самбурова Ольга Владиславовна,НесвижФарма АО (УКРАИНА),13665.61,1,0
Нечесова Наталья Валерьевна,ЭТА-ПЛЮС ООО,499528.47,6,2
Белозерский Денис Александрович,БобруйскКом АО (БЕЛАРУСЬ),307847.01,5,4
Лавар Владимир Игоревич,ЗЕТА-ТОРГ ООО,54102.59,2,1
Самбурова Ольга Владиславовна,МогилевМаш ООО (ТАДЖИКИСТАН),699571.40,1,2
Катынкина Елена Александровна,КрымМед ООО,25986.91,1,1
Нечесова Наталья Валерьевна,"ООО ""НПО «Ликом»""",542245.53,6,2
Самбурова Ольга Владиславовна,ШкловЭкспорт ТОО (КИРГИЗИЯ),10445.76,0,1
Белозерский Денис Александрович,ЯрославльЭкспорт АО (УКРАИНА),837681.47,3,4
Антоненко Ольга Александровна,КарачаевоЧеркесияИнновации АО,1600.00,0,1
Антоненко Ольга Александровна,ДрогичинИнновации АО (ГРУЗИЯ),20596.44,1,0
Мусина Елена Константиновна,ХотимскСервис АО (БЕЛАРУСЬ),123490.53,1,0
Самбурова Ольга Владиславовна,КлимовичиИнновации АО (ГРУЗИЯ),216996.60,3,3
Кузьмин Игорь Дмитриевич,КлимовичСервис ООО (БЕЛАРУСЬ),4602.24,1,0
Кузьмин Игорь Дмитриевич,СтолинТех ООО (БЕЛАРУСЬ),63302.40,0,1
Кузьмин Игорь Дмитриевич,ЧаусыКом АО (БЕЛАРУСЬ),90555.03,0,1
Самбурова Ольга Владиславовна,ХотимскИнновации ТОО (КАЗАХСТАН),61661.64,1,1
Самбурова Ольга Владиславовна,МогилевИндустрия АО (МОЛДОВА),474688.31,4,4
Махоткина Ирина Юрьевна,СтарыеДорогиИнновации ООО (БЕЛАРУСЬ),48914.12,2,0
Нечесова Наталья Валерьевна,ТЕТА-СТРОЙ ООО,1988910.37,5,5
Грозова Лариса Николаевна,ООО АВИКС ГРУПП,580328.22,6,5
Нечесова Наталья Валерьевна,ПружаныТрейд ООО (БЕЛАРУСЬ),16403856.43,6,5
Белозерский Денис Александрович,ЛЕНИНГРАД ООО,67898.14,3,2
Кузьмин Игорь Дмитриевич,КомаринСтрой ТОО (БЕЛАРУСЬ),15338.30,1,0
Лавар Владимир Игоревич,ФИ-ПРОМ ООО,1441456.73,4,4
Антоненко Ольга Александровна,ЛяховичиЭнерго ООО (ТАДЖИКИСТАН),23594.58,1,0
Любецкая Юлия Михайловна,ТАУ-ЭЛЕКТРО ООО,1859.11,0,1
Самбурова Ольга Владиславовна,КалинковичиМед ТОО (КИРГИЗИЯ),10594.80,0,1
Рудова Евгения Константиновна,ЧайкаЭкспорт ТОО (КАЗАХСТАН),32659.20,1,0
Белозерский Денис Александрович,ФУНДАМЕНТ-КОМ ООО,173454.49,1,0
Рудова Евгения Константиновна,НижнийНовгородТех ТОО (ТУРКМЕНИСТАН),1249212.23,5,5
Грозова Лариса Николаевна,"ОАО ""А/К ""ВОРОНЕЖАВИА""",52783.20,1,1
Кузьмин Игорь Дмитриевич,"ООО Производственно-торговая фирма ""Авиатор""",44705.10,0,1
Самбурова Ольга Владиславовна,КобринЛогистика ООО (БЕЛОРУСЬ),54000.00,0,1
Рудова Евгения Константиновна,ОмикронМаш АО (ГРУЗИЯ),1409625.72,2,3
Рудова Евгения Константиновна,ПружаныИнвест АО (БЕЛАРУСЬ),108285.66,1,0
Кузьмин Игорь Дмитриевич,БраславФарма АО (БЕЛАРУСЬ),1271.52,1,0
Катынкина Елена Александровна,МикашевичиМед ООО (БЕЛАРУСЬ),4860.00,0,1
Лавар Владимир Игоревич,БЕТА-МАШ ООО,20147.08,2,0
Белозерский Денис Александрович,ЛАМБДА-ТОРГ ООО,46527.55,2,2
Лавар Владимир Игоревич,ЛАМБДА-КОМ ООО,359421.93,1,1
Антоненко Ольга Александровна,НЕВА-КОМ ООО,21876.92,1,0
Мусина Елена Константиновна,КлимовичиИндустрия АО (БЕЛАРУСЬ),41239.68,1,0
Нечесова Наталья Валерьевна,БЕТА-СТРОЙ ООО,703101.27,2,4
Белозерский Денис Александрович,ТОБОЛ-ПРОМ ООО,179147.96,1,3
Кузьмин Игорь Дмитриевич,БобруйскПроект АО (БЕЛАРУСЬ),5421.72,1,0
Лавар Владимир Игоревич,КСИ-ИНВЕСТ ООО,479878.08,2,5
Мусина Елена Константиновна,ОршаИнновации АО (БЕЛАРУСЬ),19879.92,1,0
Белозерский Денис Александрович,НЮ-ПЛЮС ООО,648830.80,5,1
Белозерский Денис Александрович,РО-ЭНЕРГО ООО,377236.43,4,2
Белозерский Денис Александрович,ООО «Группа Компаний «ЛИПЕЦКПРОФИЛЬ»,319418.99,1,1
Рудова Евгения Константиновна,ИмперияИнновации АО (УКРАИНА),646459.11,6,2
Рудова Евгения Константиновна,ВегаКонсалт АО (ГРУЗИЯ),136878.00,1,0
Махоткина Ирина Юрьевна,ЧашникиЛогистика АО (БЕЛАРУСЬ),770904.31,2,1
Кузьмин Игорь Дмитриевич,ГлубокоеТрейд АО (БЕЛАРУСЬ),3447.96,1,0
Самбурова Ольга Владиславовна,ХарьковЭнерго ООО (ТАДЖИКИСТАН),1639.11,1,0
Грозова Лариса Николаевна,УфаМед ООО,19074.60,3,1
Белозерский Денис Александрович,ЛЕС-ИНВЕСТ ООО,20622.60,1,0
Самбурова Ольга Владиславовна,СевастопольИнновации ТОО (КАЗАХСТАН),12339.00,1,0
Нечесова Наталья Валерьевна,ЗЕТА-СТРОЙ ООО,201420.09,0,4
Грозова Лариса Николаевна,"ОАО ""Холсим (Рус)""",835053.41,2,2
Леонов Евгений Николаевич,ЧаусыКом ТОО (БЕЛАРУСЬ),30877.93,2,0
Кузьмин Игорь Дмитриевич,ОсиповичиИнновации ООО (БЕЛАРУСЬ),8107.19,0,1
Махоткина Ирина Юрьевна,КлимовичЭнерго ООО (БЕЛАРУСЬ),7792.54,0,1
Белозерский Денис Александрович,НИКОЛЬ-ТОРГ ООО,46629.25,0,1
Рудова Евгения Константиновна,УшачиИндустрия ООО (БЕЛАРУСЬ),46522.08,1,1
Катынкина Елена Александровна,КокшетауМед ООО (КАЗАХСТАН),23680.80,0,2
Катынкина Елена Александровна,СолигорскКом ООО (БЕЛАРУСЬ),34776.00,1,0
Антоненко Ольга Александровна,БобруйскСервис ООО (БЕЛОРУСЬ),553544.06,1,1
Грозова Лариса Николаевна,БелгородИнвест АО,7323.48,1,0
Белозерский Денис Александрович,ЕльскПроект АО (БЕЛАРУСЬ),5494274.38,1,0
Рудова Евгения Константиновна,КамаМед ТОО (КАЗАХСТАН),527675.76,3,3
Катынкина Елена Александровна,ОдессаИндустрия ООО,54997.42,1,1
Белозерский Денис Александрович,СИГМА-КОМ ООО,20893.15,1,1
Самбурова Ольга Владиславовна,ЖодиноФинанс ТОО (АРМЕНИЯ),30885.88,1,0
Махоткина Ирина Юрьевна,КомаринИндустрия ООО (БЕЛАРУСЬ),7920.00,0,1
Белозерский Денис Александрович,УРАЛ-МАШ ООО,56017.49,1,0
Самбурова Ольга Владиславовна,НесвижПроект ООО (УЗБЕКИСТАН),415405.49,3,3
Самбурова Ольга Владиславовна,ЧериковФарма АО (УКРАИНА),83988.32,0,3
Грозова Лариса Николаевна,"ООО ""ИСМ-Технологии""",116410.73,1,0
Белозерский Денис Александрович,ОМЕГА-ПЛЮС ООО,97904.18,1,0
Леонов Евгений Николаевич,ИвановоФарма ООО (БЕЛАРУСЬ),1612019.84,2,4
Белозерский Денис Александрович,ЭТА-СТРОЙ ООО,146003.34,1,1
Катынкина Елена Александровна,СахалинФинанс ООО,10046.16,1,0
Грозова Лариса Николаевна,"ПАО ""АВТОДИЗЕЛЬ"" (ЯМЗ)",708755.77,6,5
Самбурова Ольга Владиславовна,КиевФинанс ООО (БЕЛОРУСЬ),269240.26,1,1
Рудова Евгения Константиновна,ЭкваторСтроительство ТОО (АРМЕНИЯ),105206.40,0,1
Катынкина Елена Александровна,РечицаСтрой АО (БЕЛАРУСЬ),2984.64,1,0
Грозова Лариса Николаевна,"АО ""АТЗ""",2782.63,1,1
Белозерский Денис Александрович,МЕТРО-ЭНЕРГО ООО,28480.24,2,0
Махоткина Ирина Юрьевна,ДубровноЭкспорт АО (БЕЛАРУСЬ),23472.14,1,0
Грозова Лариса Николаевна,Алтайтелеком,354558.28,4,2
Антоненко Ольга Александровна,МикашевичиИнновации ООО (АЗЕРБАЙДЖАН),157595.67,5,2
Кузнецов Евгений Васильевич,ИвановоЛогистика ООО (БЕЛАРУСЬ),25660.80,1,0
Антоненко Ольга Александровна,УшачиКом ООО (ТАДЖИКИСТАН),97754.92,3,0
Махоткина Ирина Юрьевна,ХотимскСервис ООО (БЕЛАРУСЬ),12251.09,1,0
Нечесова Наталья Валерьевна,ОсиповичиПроект АО (БЕЛАРУСЬ),2660494.39,6,4
Махоткина Ирина Юрьевна,КурскФинанс ООО,15611.52,1,1
Самбурова Ольга Владиславовна,ЛидаФинанс ООО (БЕЛОРУСЬ),472180.68,0,1
Самбурова Ольга Владиславовна,СтолбцыИндустрия ООО (БЕЛОРУСЬ),15648.00,1,0
Мусина Елена Константиновна,МстиславльИнвест АО (БЕЛАРУСЬ),53076.00,2,0
Антоненко Ольга Александровна,КомаринТрейд АО (ГРУЗИЯ),9308.93,1,0
Леонов Евгений Николаевич,ГанцевичиСервис АО (БЕЛАРУСЬ),34009.92,1,1
Белозерский Денис Александрович,ИНФОРМ-КОМ ООО,21123.88,0,2
Белозерский Денис Александрович,ДЕЛЬТА-ПЛЮС ООО,3370920.64,2,1
Катынкина Елена Александровна,ШымкентСтрой ООО (КАЗАХСТАН),5990.04,0,1
Грозова Лариса Николаевна,"ГП Ф-КА ФОРМЕННОГО ОБМУНДИРОВАНИЯ ""АВИАЛЕСООХРАНА""",6609.60,0,2
Рудова Евгения Константиновна,ЯмалМед ООО (УЗБЕКИСТАН),37584.00,1,1
Лавар Владимир Игоревич,ТЕТА-ЭЛЕКТРО ООО,38581.06,1,1
Кузьмин Игорь Дмитриевич,БрагинФарма АО (БЕЛАРУСЬ),36937.32,1,0
Грозова Лариса Николаевна,"АО ""АРМАГУС""",48617.17,2,0
Рудова Евгения Константиновна,ВолгаСервис ООО (АЗЕРБАЙДЖАН),48727.32,1,0
Антоненко Ольга Александровна,КомаринМед ООО (УЗБЕКИСТАН),7325.00,1,0
Антоненко Ольга Александровна,НаровляЛогистика ТОО (АРМЕНИЯ),127931.82,1,2
Рудова Евгения Константиновна,ЭтнаПроект ООО (АЗЕРБАЙДЖАН),164622.51,2,1
Леонов Евгений Николаевич,ДрогичинИндустрия АО (БЕЛАРУСЬ),16047.16,2,0
Белозерский Денис Александрович,ЛАМБДА-ПРОД ООО,401.72,1,0
Антоненко Ольга Александровна,ХотимскФинанс ООО (БЕЛОРУСЬ),300.00,0,1
Белозерский Денис Александрович,ДЕЛЬТА-ТОРГ ООО,63864.61,0,2
Грозова Лариса Николаевна,"ООО ""ЛИКСИР""",100584.00,3,1
Белозерский Денис Александрович,"ООО ""ИННОВЕЛД""",11852.46,0,1
Лавар Владимир Игоревич,СтолбцыТрейд АО (БЕЛАРУСЬ),72221.48,1,0
Антоненко Ольга Александровна,ЛиозноИнновации ТОО (КАЗАХСТАН),7833.44,1,1
Грозова Лариса Николаевна,"АО ""АНХК""",15128.27,1,2
Грозова Лариса Николаевна,"АО ""ЦОФ ""АБАШЕВСКАЯ""",12246.00,1,0
Грозова Лариса Николаевна,"ООО ""Липецкая трубная компания ""Свободный сокол""",58027.14,1,0
